599D "Spongebob and Squares" "brute force, math" "Spongebob is already tired trying to reason his weird actions and calculations, so he simply asked you to find all pairs of n and m, such that there are exactly x distinct squares in the table consisting of n rows and m columns. For example, in a 3\xe2\x80\x89\xc3\x97\xe2\x80\x895 table there are 15 squares with side one, 8 squares with side two and 3 squares with side three. The total number of distinct squares in a 3\xe2\x80\x89\xc3\x97\xe2\x80\x895 table is 15\xe2\x80\x89+\xe2\x80\x898\xe2\x80\x89+\xe2\x80\x893\xe2\x80\x89=\xe2\x80\x8926.
The first line of the input contains a single integer x (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x891018) \xe2\x80\x94 the number of squares inside the tables Spongebob is interested in.
First print a single integer k \xe2\x80\x94 the number of tables with exactly x distinct squares inside.
Then print k pairs of integers describing the tables. Print the pairs in the order of increasing n, and in case of equality \xe2\x80\x94 in the order of increasing m.
In a 1\xe2\x80\x89\xc3\x97\xe2\x80\x892 table there are 2 1\xe2\x80\x89\xc3\x97\xe2\x80\x891 squares. So, 2 distinct squares in total.
In a 2\xe2\x80\x89\xc3\x97\xe2\x80\x893 table there are 6 1\xe2\x80\x89\xc3\x97\xe2\x80\x891 squares and 2 2\xe2\x80\x89\xc3\x97\xe2\x80\x892 squares. That is equal to 8 squares in total." "1900  x2591"
599C "Day at the Beach" sortings "One day Squidward, Spongebob and Patrick decided to go to the beach. Unfortunately, the weather was bad, so the friends were unable to ride waves. However, they decided to spent their time building sand castles.
At the end of the day there were n castles built by friends. Castles are numbered from 1 to n, and the height of the i-th castle is equal to hi. When friends were about to leave, Squidward noticed, that castles are not ordered by their height, and this looks ugly. Now friends are going to reorder the castles in a way to obtain that condition hi\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89hi\xe2\x80\x89+\xe2\x80\x891 holds for all i from 1 to n\xe2\x80\x89-\xe2\x80\x891.
Squidward suggested the following process of sorting castles: 
Even Patrick understands that increasing the number of blocks in partitioning will ease the sorting process. Now friends ask you to count the maximum possible number of blocks in a partitioning that satisfies all the above requirements.
The first line of the input contains a single integer n (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100\xe2\x80\x89000) \xe2\x80\x94 the number of castles Spongebob, Patrick and Squidward made from sand during the day.
The next line contains n integers hi (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89hi\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89109). The i-th of these integers corresponds to the height of the i-th castle.
Print the maximum possible number of blocks in a valid partitioning.
In the first sample the partitioning looks like that: [1][2][3].
In the second sample the partitioning is: [2, 1][3, 2]" "1600  x4669"
599B "Spongebob and Joke" implementation "While Patrick was gone shopping, Spongebob decided to play a little trick on his friend. The naughty Sponge browsed through Patrick\'s personal stuff and found a sequence a1,\xe2\x80\x89a2,\xe2\x80\x89...,\xe2\x80\x89am of length m, consisting of integers from 1 to n, not necessarily distinct. Then he picked some sequence f1,\xe2\x80\x89f2,\xe2\x80\x89...,\xe2\x80\x89fn of length n and for each number ai got number bi\xe2\x80\x89=\xe2\x80\x89fai. To finish the prank he erased the initial sequence ai.
It\'s hard to express how sad Patrick was when he returned home from shopping! We will just say that Spongebob immediately got really sorry about what he has done and he is now trying to restore the original sequence. Help him do this or determine that this is impossible.
The first line of the input contains two integers n and m (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n,\xe2\x80\x89m\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100\xe2\x80\x89000) \xe2\x80\x94 the lengths of sequences fi and bi respectively.
The second line contains n integers, determining sequence f1,\xe2\x80\x89f2,\xe2\x80\x89...,\xe2\x80\x89fn (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89fi\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n).
The last line contains m integers, determining sequence b1,\xe2\x80\x89b2,\xe2\x80\x89...,\xe2\x80\x89bm (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89bi\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n).
Print ""Possible"" if there is exactly one sequence ai, such that bi\xe2\x80\x89=\xe2\x80\x89fai for all i from 1 to m. Then print m integers a1,\xe2\x80\x89a2,\xe2\x80\x89...,\xe2\x80\x89am.
If there are multiple suitable sequences ai, print ""Ambiguity"".
If Spongebob has made a mistake in his calculations and no suitable sequence ai exists, print ""Impossible"".
In the first sample 3 is replaced by 1 and vice versa, while 2 never changes. The answer exists and is unique.
In the second sample all numbers are replaced by 1, so it is impossible to unambiguously restore the original sequence.
In the third sample fi\xe2\x80\x89\xe2\x89\xa0\xe2\x80\x893 for all i, so no sequence ai transforms into such bi and we can say for sure that Spongebob has made a mistake." "1500  x4412"
599A "Patrick and Shopping" implementation "Today Patrick waits for a visit from his friend Spongebob. To prepare for the visit, Patrick needs to buy some goodies in two stores located near his house. There is a d1 meter long road between his house and the first shop and a d2 meter long road between his house and the second shop. Also, there is a road of length d3 directly connecting these two shops to each other. Help Patrick calculate the minimum distance that he needs to walk in order to go to both shops and return to his house.
Patrick always starts at his house. He should visit both shops moving only along the three existing roads and return back to his house. He doesn\'t mind visiting the same shop or passing the same road multiple times. The only goal is to minimize the total distance traveled.
The first line of the input contains three integers d1, d2, d3 (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89d1,\xe2\x80\x89d2,\xe2\x80\x89d3\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89108) \xe2\x80\x94 the lengths of the paths. 
Print the minimum distance that Patrick will have to walk in order to visit both shops and return to his house.
The first sample is shown on the picture in the problem statement. One of the optimal routes is: house  first shop  second shop  house.
In the second sample one of the optimal routes is: house  first shop  house  second shop  house." "800  x29193"
598F "Cut Length" geometry "Given simple (without self-intersections) n-gon. It is not necessary convex. Also you are given m lines. For each line find the length of common part of the line and the n-gon.
The boundary of n-gon belongs to polygon. It is possible that n-gon contains 180-degree angles.
The first line contains integers n and m (3\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x891000;1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89m\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100). The following n lines contain coordinates of polygon vertices (in clockwise or counterclockwise direction). All vertices are distinct.
The following m lines contain line descriptions. Each of them contains two distict points of a line by their coordinates.
All given in the input coordinates are real numbers, given with at most two digits after decimal point. They do not exceed 105 by absolute values.
Print m lines, the i-th line should contain the length of common part of the given n-gon and the i-th line. The answer will be considered correct if the absolute or relative error doesn\'t exceed 10\xe2\x80\x89-\xe2\x80\x896." "2900  x380"
598E "Chocolate Bar" "brute force, dp" "You have a rectangular chocolate bar consisting of n\xe2\x80\x89\xc3\x97\xe2\x80\x89m single squares. You want to eat exactly k squares, so you may need to break the chocolate bar. 
In one move you can break any single rectangular piece of chocolate in two rectangular pieces. You can break only by lines between squares: horizontally or vertically. The cost of breaking is equal to square of the break length.
For example, if you have a chocolate bar consisting of 2\xe2\x80\x89\xc3\x97\xe2\x80\x893 unit squares then you can break it horizontally and get two 1\xe2\x80\x89\xc3\x97\xe2\x80\x893 pieces (the cost of such breaking is 32\xe2\x80\x89=\xe2\x80\x899), or you can break it vertically in two ways and get two pieces: 2\xe2\x80\x89\xc3\x97\xe2\x80\x891 and 2\xe2\x80\x89\xc3\x97\xe2\x80\x892 (the cost of such breaking is 22\xe2\x80\x89=\xe2\x80\x894).
For several given values n, m and k find the minimum total cost of breaking. You can eat exactly k squares of chocolate if after all operations of breaking there is a set of rectangular pieces of chocolate with the total size equal to k squares. The remaining n\xc2\xb7m\xe2\x80\x89-\xe2\x80\x89k squares are not necessarily form a single rectangular piece.
The first line of the input contains a single integer t (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89t\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x8940910) \xe2\x80\x94 the number of values n, m and k to process.
Each of the next t lines contains three integers n, m and k (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n,\xe2\x80\x89m\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x8930,\xe2\x80\x891\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89k\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89min(n\xc2\xb7m,\xe2\x80\x8950)) \xe2\x80\x94 the dimensions of the chocolate bar and the number of squares you want to eat respectively.
For each n, m and k print the minimum total cost needed to break the chocolate bar, in order to make it possible to eat exactly k squares.
In the first query of the sample one needs to perform two breaks:
In the second query of the sample one wants to eat 3 unit squares. One can use exactly the same strategy as in the first query of the sample." "2000  x5088"
598D "Igor In the Museum" "dfs and similar, graphs, shortest paths" "Igor is in the museum and he wants to see as many pictures as possible.
Museum can be represented as a rectangular field of n\xe2\x80\x89\xc3\x97\xe2\x80\x89m cells. Each cell is either empty or impassable. Empty cells are marked with \'.\', impassable cells are marked with \'*\'. Every two adjacent cells of different types (one empty and one impassable) are divided by a wall containing one picture.
At the beginning Igor is in some empty cell. At every moment he can move to any empty cell that share a side with the current one.
For several starting positions you should calculate the maximum number of pictures that Igor can see. Igor is able to see the picture only if he is in the cell adjacent to the wall with this picture. Igor have a lot of time, so he will examine every picture he can see.
First line of the input contains three integers n, m and k (3\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n,\xe2\x80\x89m\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x891000,\xe2\x80\x891\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89k\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89min(n\xc2\xb7m,\xe2\x80\x89100\xe2\x80\x89000)) \xe2\x80\x94 the museum dimensions and the number of starting positions to process.
Each of the next n lines contains m symbols \'.\', \'*\' \xe2\x80\x94 the description of the museum. It is guaranteed that all border cells are impassable, so Igor can\'t go out from the museum.
Each of the last k lines contains two integers x and y (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n,\xe2\x80\x891\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89y\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89m) \xe2\x80\x94 the row and the column of one of Igor\'s starting positions respectively. Rows are numbered from top to bottom, columns \xe2\x80\x94 from left to right. It is guaranteed that all starting positions are empty cells.
Print k integers \xe2\x80\x94 the maximum number of pictures, that Igor can see if he starts in corresponding position." "1700  x11226"
598C "Nearest vectors" "geometry, sortings" "You are given the set of vectors on the plane, each of them starting at the origin. Your task is to find a pair of vectors with the minimal non-oriented angle between them.
Non-oriented angle is non-negative value, minimal between clockwise and counterclockwise direction angles. Non-oriented angle is always between 0 and \xcf\x80. For example, opposite directions vectors have angle equals to \xcf\x80.
First line of the input contains a single integer n (2\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100\xe2\x80\x89000) \xe2\x80\x94 the number of vectors.
The i-th of the following n lines contains two integers xi and yi (|x|,\xe2\x80\x89|y|\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x8910\xe2\x80\x89000,\xe2\x80\x89x2\xe2\x80\x89+\xe2\x80\x89y2\xe2\x80\x89>\xe2\x80\x890) \xe2\x80\x94 the coordinates of the i-th vector. Vectors are numbered from 1 to n in order of appearing in the input. It is guaranteed that no two vectors in the input share the same direction (but they still can have opposite directions).
Print two integer numbers a and b (a\xe2\x80\x89\xe2\x89\xa0\xe2\x80\x89b) \xe2\x80\x94 a pair of indices of vectors with the minimal non-oriented angle. You can print the numbers in any order. If there are many possible answers, print any." "2300  x4488"
598B "Queries on a String" "implementation, strings" "You are given a string s and should process m queries. Each query is described by two 1-based indices li, ri and integer ki. It means that you should cyclically shift the substring s[li... ri] ki times. The queries should be processed one after another in the order they are given.
One operation of a cyclic shift (rotation) is equivalent to moving the last character to the position of the first character and shifting all other characters one position to the right.
For example, if the string s is abacaba and the query is l1\xe2\x80\x89=\xe2\x80\x893,\xe2\x80\x89r1\xe2\x80\x89=\xe2\x80\x896,\xe2\x80\x89k1\xe2\x80\x89=\xe2\x80\x891 then the answer is abbacaa. If after that we would process the query l2\xe2\x80\x89=\xe2\x80\x891,\xe2\x80\x89r2\xe2\x80\x89=\xe2\x80\x894,\xe2\x80\x89k2\xe2\x80\x89=\xe2\x80\x892 then we would get the string baabcaa.
The first line of the input contains the string s (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89|s|\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x8910\xe2\x80\x89000) in its initial state, where |s| stands for the length of s. It contains only lowercase English letters.
Second line contains a single integer m (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89m\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89300) \xe2\x80\x94 the number of queries.
The i-th of the next m lines contains three integers li, ri and ki (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89li\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89ri\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89|s|,\xe2\x80\x891\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89ki\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x891\xe2\x80\x89000\xe2\x80\x89000) \xe2\x80\x94 the description of the i-th query.
Print the resulting string s after processing all m queries.
The sample is described in problem statement." "1300  x11223"
598A "Tricky Sum" math "In this problem you are to calculate the sum of all integers from 1 to n, but you should take all powers of two with minus in the sum.
For example, for n\xe2\x80\x89=\xe2\x80\x894 the sum is equal to \xe2\x80\x89-\xe2\x80\x891\xe2\x80\x89-\xe2\x80\x892\xe2\x80\x89+\xe2\x80\x893\xe2\x80\x89-\xe2\x80\x894\xe2\x80\x89=\xe2\x80\x89\xe2\x80\x89-\xe2\x80\x894, because 1, 2 and 4 are 20, 21 and 22 respectively.
Calculate the answer for t values of n.
The first line of the input contains a single integer t (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89t\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100) \xe2\x80\x94 the number of values of n to be processed.
Each of next t lines contains a single integer n (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89109).
Print the requested sum for each of t integers n given in the input.
The answer for the first sample is explained in the statement." "900  x26800"
597C Subsequences "data structures, dp" "For the given sequence with n different elements find the number of increasing subsequences with k\xe2\x80\x89+\xe2\x80\x891 elements. It is guaranteed that the answer is not greater than 8\xc2\xb71018.
First line contain two integer values n and k (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89105,\xe2\x80\x890\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89k\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x8910) \xe2\x80\x94 the length of sequence and the number of elements in increasing subsequences.
Next n lines contains one integer ai (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89ai\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n) each \xe2\x80\x94 elements of sequence. All values ai are different.
Print one integer \xe2\x80\x94 the answer to the problem." "1900  x5066"
597B Restaurant "dp, greedy, sortings" "A restaurant received n orders for the rental. Each rental order reserve the restaurant for a continuous period of time, the i-th order is characterized by two time values \xe2\x80\x94 the start time li and the finish time ri (li\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89ri).
Restaurant management can accept and reject orders. What is the maximal number of orders the restaurant can accept?
No two accepted orders can intersect, i.e. they can\'t share even a moment of time. If one order ends in the moment other starts, they can\'t be accepted both.
The first line contains integer number n (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x895\xc2\xb7105) \xe2\x80\x94 number of orders. The following n lines contain integer values li and ri each (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89li\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89ri\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89109).
Print the maximal number of orders that can be accepted." "1600  x4871"
597A Divisibility math "Find the number of k-divisible numbers on the segment [a,\xe2\x80\x89b]. In other words you need to find the number of such integer values x that a\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89b and x is divisible by k.
The only line contains three space-separated integers k, a and b (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89k\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x891018;\xe2\x80\x89-\xe2\x80\x891018\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89a\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89b\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x891018).
Print the required number." "1600  x4539"
596E "Wilbur and Strings" "dfs and similar, dp, graphs, strings" "Wilbur the pig now wants to play with strings. He has found an n by m table consisting only of the digits from 0 to 9 where the rows are numbered 1 to n and the columns are numbered 1 to m. Wilbur starts at some square and makes certain moves. If he is at square (x, y) and the digit d (0\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89d\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x899) is written at position (x, y), then he must move to the square (x\xe2\x80\x89+\xe2\x80\x89ad, y\xe2\x80\x89+\xe2\x80\x89bd), if that square lies within the table, and he stays in the square (x, y) otherwise. Before Wilbur makes a move, he can choose whether or not to write the digit written in this square on the white board. All digits written on the whiteboard form some string. Every time a new digit is written, it goes to the end of the current string.
Wilbur has q strings that he is worried about. For each string si, Wilbur wants to know whether there exists a starting position (x, y) so that by making finitely many moves, Wilbur can end up with the string si written on the white board.
The first line of the input consists of three integers n, m, and q (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n,\xe2\x80\x89m,\xe2\x80\x89q\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89200) \xe2\x80\x94 the dimensions of the table and the number of strings to process, respectively.
Each of the next n lines contains m digits from 0 and 9 giving the table itself.
Then follow 10 lines. The i-th of them contains the values ai\xe2\x80\x89-\xe2\x80\x891 and bi\xe2\x80\x89-\xe2\x80\x891 (\xe2\x80\x89-\xe2\x80\x89200\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89ai,\xe2\x80\x89bi\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89200), i.e. the vector that Wilbur uses to make a move from the square with a digit i\xe2\x80\x89-\xe2\x80\x891 in it.
There are q lines that follow. The i-th of them will contain a string si consisting only of digits from 0 to 9. It is guaranteed that the total length of these q strings won\'t exceed 1\xe2\x80\x89000\xe2\x80\x89000.
For each of the q strings, print ""YES"" if Wilbur can choose x and y in order to finish with this string after some finite number of moves. If it\'s impossible, than print ""NO"" for the corresponding string.
In the first sample, there is a 1 by 1 table consisting of the only digit 0. The only move that can be made is staying on the square. The first string can be written on the white board by writing 0 repeatedly. The second string cannot be written as there is no 2 on the table." "2500  x393"
596D "Wilbur and Trees" "dp, math, probabilities, sortings" "Wilbur the pig really wants to be a beaver, so he decided today to pretend he is a beaver and bite at trees to cut them down.
There are n trees located at various positions on a line. Tree i is located at position xi. All the given positions of the trees are distinct.
The trees are equal, i.e. each tree has height h. Due to the wind, when a tree is cut down, it either falls left with probability p, or falls right with probability 1\xe2\x80\x89-\xe2\x80\x89p. If a tree hits another tree while falling, that tree will fall in the same direction as the tree that hit it. A tree can hit another tree only if the distance between them is strictly less than h. 
For example, imagine there are 4 trees located at positions 1, 3, 5 and 8, while h\xe2\x80\x89=\xe2\x80\x893 and the tree at position 1 falls right. It hits the tree at position 3 and it starts to fall too. In it\'s turn it hits the tree at position 5 and it also starts to fall. The distance between 8 and 5 is exactly 3, so the tree at position 8 will not fall.
As long as there are still trees standing, Wilbur will select either the leftmost standing tree with probability 0.5 or the rightmost standing tree with probability 0.5. Selected tree is then cut down. If there is only one tree remaining, Wilbur always selects it. As the ground is covered with grass, Wilbur wants to know the expected total length of the ground covered with fallen trees after he cuts them all down because he is concerned about his grass-eating cow friends. Please help Wilbur.
The first line of the input contains two integers, n (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x892000) and h (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89h\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89108) and a real number p (0\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89p\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x891), given with no more than six decimal places.
The second line of the input contains n integers, x1,\xe2\x80\x89x2,\xe2\x80\x89...,\xe2\x80\x89xn (\xe2\x80\x89-\xe2\x80\x89108\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89xi\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89108) in no particular order.
Print a single real number \xe2\x80\x94 the expected total length of the ground covered by trees when they have all fallen down. Your answer will be considered correct if its absolute or relative error does not exceed 10\xe2\x80\x89-\xe2\x80\x896. 
Namely: let\'s assume that your answer is a, and the answer of the jury is b. The checker program will consider your answer correct, if .
Consider the first example, we have 2 trees with height 2. 
 1. Both trees falls left. This can either happen with the right tree falling left first, which has  probability (also knocking down the left tree), or the left tree can fall left and then the right tree can fall left, which has  probability. Total probability is . 
 2. Both trees fall right. This is analogous to (1), so the probability of this happening is . 
 3. The left tree fall left and the right tree falls right. This is the only remaining scenario so it must have  probability. 
 Cases 1 and 2 lead to a total of 3 units of ground covered, while case 3 leads to a total of 4 units of ground covered. Thus, the expected value is ." "2300  x685"
596C "Wilbur and Points" "combinatorics, greedy, sortings" "Wilbur is playing with a set of n points on the coordinate plane. All points have non-negative integer coordinates. Moreover, if some point (x, y) belongs to the set, then all points (x\', y\'), such that 0\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x\'\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x and 0\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89y\'\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89y also belong to this set.
Now Wilbur wants to number the points in the set he has, that is assign them distinct integer numbers from 1 to n. In order to make the numbering aesthetically pleasing, Wilbur imposes the condition that if some point (x, y) gets number i, then all (x\',y\') from the set, such that x\'\xe2\x80\x89\xe2\x89\xa5\xe2\x80\x89x and y\'\xe2\x80\x89\xe2\x89\xa5\xe2\x80\x89y must be assigned a number not less than i. For example, for a set of four points (0, 0), (0, 1), (1, 0) and (1, 1), there are two aesthetically pleasing numberings. One is 1, 2, 3, 4 and another one is 1, 3, 2, 4.
Wilbur\'s friend comes along and challenges Wilbur. For any point he defines it\'s special value as s(x,\xe2\x80\x89y)\xe2\x80\x89=\xe2\x80\x89y\xe2\x80\x89-\xe2\x80\x89x. Now he gives Wilbur some w1, w2,..., wn, and asks him to find an aesthetically pleasing numbering of the points in the set, such that the point that gets number i has it\'s special value equal to wi, that is s(xi,\xe2\x80\x89yi)\xe2\x80\x89=\xe2\x80\x89yi\xe2\x80\x89-\xe2\x80\x89xi\xe2\x80\x89=\xe2\x80\x89wi.
Now Wilbur asks you to help him with this challenge.
The first line of the input consists of a single integer n (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100\xe2\x80\x89000) \xe2\x80\x94 the number of points in the set Wilbur is playing with.
Next follow n lines with points descriptions. Each line contains two integers x and y (0\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x,\xe2\x80\x89y\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100\xe2\x80\x89000), that give one point in Wilbur\'s set. It\'s guaranteed that all points are distinct. Also, it is guaranteed that if some point (x, y) is present in the input, then all points (x\', y\'), such that 0\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x\'\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89x and 0\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89y\'\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89y, are also present in the input.
